interaction_id,source,target,weight,book
1,Aegon-I-Targaryen,Daenerys-Targaryen,4,5
2,Aegon-Targaryen-(son-of-Rhaegar),Daenerys-Targaryen,11,5
3,Aegon-Targaryen-(son-of-Rhaegar),Elia-Martell,4,5
4,Aegon-Targaryen-(son-of-Rhaegar),Franklyn-Flowers,3,5
5,Aegon-Targaryen-(son-of-Rhaegar),Haldon,14,5
6,Aegon-Targaryen-(son-of-Rhaegar),Harry-Strickland,9,5
7,Aegon-Targaryen-(son-of-Rhaegar),Jon-Connington,16,5
8,Aegon-Targaryen-(son-of-Rhaegar),Lemore,10,5
9,Aegon-Targaryen-(son-of-Rhaegar),Rhaegar-Targaryen,9,5
10,Aegon-Targaryen-(son-of-Rhaegar),Rhaenys-Targaryen-(daughter-of-Rhaegar),4,5
11,Aegon-Targaryen-(son-of-Rhaegar),Rolly-Duckfield,11,5
12,Aegon-Targaryen-(son-of-Rhaegar),Tyrion-Lannister,23,5
13,Aegon-Targaryen-(son-of-Rhaegar),Tywin-Lannister,3,5
14,Aegon-Targaryen-(son-of-Rhaegar),Viserys-Targaryen,3,5
15,Aegon-Targaryen-(son-of-Rhaegar),Yandry,6,5
16,Aegon-Targaryen-(son-of-Rhaegar),Ysilla,4,5
17,Aemon-Targaryen-(Maester-Aemon),Clydas,7,5
18,Aemon-Targaryen-(Maester-Aemon),Gilly,3,5
19,Aemon-Targaryen-(Maester-Aemon),Jon-Snow,12,5
20,Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,16,5
21,Aemon-Targaryen-(Maester-Aemon),Stannis-Baratheon,3,5
22,Aenys-Frey,Hosteen-Frey,6,5
23,Aenys-Frey,Theon-Greyjoy,3,5
24,Aenys-Frey,Wyman-Manderly,4,5
25,Aeron-Greyjoy,Euron-Greyjoy,4,5
26,Aeron-Greyjoy,Victarion-Greyjoy,3,5
27,Aerys-II-Targaryen,Rhaegar-Targaryen,5,5
28,Aerys-II-Targaryen,Robert-Baratheon,5,5
29,Aerys-II-Targaryen,Tywin-Lannister,6,5
30,Aggo,Barristan-Selmy,3,5
31,Aggo,Daario-Naharis,4,5
32,Aggo,Daenerys-Targaryen,9,5
33,Aggo,Grey-Worm,5,5
34,Aggo,Jhogo,6,5
35,Aggo,Rakharo,9,5
36,Alliser-Thorne,Jon-Snow,6,5
37,Alys-Karstark,Jon-Snow,13,5
38,Alys-Karstark,Melisandre,6,5
39,Alys-Karstark,Sigorn,5,5
40,Alysane-Mormont,Asha-Greyjoy,18,5
41,Alysane-Mormont,Justin-Massey,5,5
42,Alysane-Mormont,Stannis-Baratheon,5,5
43,Archibald-Yronwood,Cletus-Yronwood,5,5
44,Archibald-Yronwood,Gerris-Drinkwater,13,5
45,Archibald-Yronwood,Quentyn-Martell,21,5
46,Archibald-Yronwood,Tattered-Prince,4,5
47,Areo-Hotah,Arianne-Martell,11,5
48,Areo-Hotah,Arys-Oakheart,4,5
49,Areo-Hotah,Balon-Swann,4,5
50,Areo-Hotah,Doran-Martell,12,5
51,Areo-Hotah,Ellaria-Sand,3,5
52,Areo-Hotah,Obara-Sand,6,5
53,Arianne-Martell,Balon-Swann,5,5
54,Arianne-Martell,Doran-Martell,11,5
55,Arianne-Martell,Ellaria-Sand,3,5
56,Arianne-Martell,Myrcella-Baratheon,4,5
57,Arianne-Martell,Obara-Sand,5,5
58,Arnolf-Karstark,Arthor-Karstark,3,5
59,Arnolf-Karstark,Asha-Greyjoy,3,5
60,Arnolf-Karstark,Mors-Umber,4,5
61,Arnolf-Karstark,Rickard-Karstark,3,5
62,Arnolf-Karstark,Stannis-Baratheon,7,5
63,Arron,Emrick,6,5
64,Arron,Hareth-(Moles-Town),4,5
65,Arron,Satin,4,5
66,Arya-Stark,Bran-Stark,7,5
67,Arya-Stark,Brusco,4,5
68,Arya-Stark,Eddard-Stark,4,5
69,Arya-Stark,Jeyne-Poole,4,5
70,Arya-Stark,Jon-Snow,12,5
71,Arya-Stark,Kindly-Man,4,5
72,Arya-Stark,Mance-Rayder,3,5
73,Arya-Stark,Melisandre,4,5
74,Arya-Stark,Ramsay-Snow,5,5
75,Arya-Stark,Sansa-Stark,4,5
76,Arya-Stark,Theon-Greyjoy,7,5
77,Arya-Stark,Waif,3,5
78,Arys-Oakheart,Gerold-Dayne,3,5
79,Asha-Greyjoy,Clayton-Suggs,4,5
80,Asha-Greyjoy,Euron-Greyjoy,4,5
81,Asha-Greyjoy,Galbart-Glover,8,5
82,Asha-Greyjoy,Godry-Farring,3,5
83,Asha-Greyjoy,Grimtongue,3,5
84,Asha-Greyjoy,Hagen,3,5
85,Asha-Greyjoy,Justin-Massey,15,5
86,Asha-Greyjoy,Qarl-the-Maid,8,5
87,Asha-Greyjoy,Robert-Baratheon,4,5
88,Asha-Greyjoy,Rolfe-the-Dwarf,3,5
89,Asha-Greyjoy,Stannis-Baratheon,16,5
90,Asha-Greyjoy,Sybelle-Glover,3,5
91,Asha-Greyjoy,Theon-Greyjoy,7,5
92,Asha-Greyjoy,Torgon-Greyiron,3,5
93,Asha-Greyjoy,Tristifer-Botley,12,5
94,Asha-Greyjoy,Tycho-Nestoris,3,5
95,Ashara-Dayne,Elia-Martell,3,5
96,Axell-Florent,Jon-Snow,4,5
97,Axell-Florent,Melisandre,5,5
98,Axell-Florent,Selyse-Florent,8,5
99,Axell-Florent,Shireen-Baratheon,3,5
100,Axell-Florent,Stannis-Baratheon,3,5
101,Azor-Ahai,Stannis-Baratheon,3,5
102,Balon-Greyjoy,Euron-Greyjoy,3,5
103,Balon-Greyjoy,Theon-Greyjoy,3,5
104,Balon-Swann,Doran-Martell,11,5
105,Balon-Swann,Gerold-Dayne,3,5
106,Balon-Swann,Myrcella-Baratheon,4,5
107,Balon-Swann,Tyrion-Lannister,3,5
108,Barbrey-Dustin,Jeyne-Poole,5,5
109,Barbrey-Dustin,Ramsay-Snow,5,5
110,Barbrey-Dustin,Roger-Ryswell,4,5
111,Barbrey-Dustin,Roose-Bolton,3,5
112,Barbrey-Dustin,Stannis-Baratheon,3,5
113,Barbrey-Dustin,Theon-Greyjoy,17,5
114,Barristan-Selmy,Belwas,9,5
115,Barristan-Selmy,Ben-Plumm,4,5
116,Barristan-Selmy,Bloodbeard,3,5
117,Barristan-Selmy,Daario-Naharis,18,5
118,Barristan-Selmy,Daenerys-Targaryen,75,5
119,Barristan-Selmy,Galazza-Galare,5,5
120,Barristan-Selmy,Gerris-Drinkwater,4,5
121,Barristan-Selmy,Grazhar,3,5
122,Barristan-Selmy,Grey-Worm,6,5
123,Barristan-Selmy,Groleo,8,5
124,Barristan-Selmy,Hizdahr-zo-Loraq,42,5
125,Barristan-Selmy,Jhogo,3,5
126,Barristan-Selmy,Khrazz,8,5
127,Barristan-Selmy,Larraq,3,5
128,Barristan-Selmy,Missandei,8,5
129,Barristan-Selmy,Quentyn-Martell,22,5
130,Barristan-Selmy,Reznak-mo-Reznak,7,5
131,Barristan-Selmy,Rhaegar-Targaryen,3,5
132,Barristan-Selmy,Skahaz-mo-Kandaq,21,5
133,Barristan-Selmy,Steelskin,3,5
134,Barristan-Selmy,Tyrion-Lannister,3,5
135,Barristan-Selmy,Varys,3,5
136,Barristan-Selmy,Widower,3,5
137,Barristan-Selmy,Xaro-Xhoan-Daxos,3,5
138,Barsena,Daenerys-Targaryen,4,5
139,Bartimus,Davos-Seaworth,4,5
140,Belaquo,Goghor-the-Giant,7,5
141,Belaquo,Hizdahr-zo-Loraq,3,5
142,Belaquo,Irri,3,5
143,Belaquo,Spotted-Cat,5,5
144,Belwas,Daenerys-Targaryen,13,5
145,Belwas,Hizdahr-zo-Loraq,11,5
146,Belwas,Quentyn-Martell,3,5
147,Belwas,Skahaz-mo-Kandaq,3,5
148,Ben-Bones,Ramsay-Snow,5,5
149,Ben-Bones,Theon-Greyjoy,4,5
150,Ben-Plumm,Daario-Naharis,9,5
151,Ben-Plumm,Daenerys-Targaryen,14,5
152,Ben-Plumm,Hizdahr-zo-Loraq,3,5
153,Ben-Plumm,Kasporio,3,5
154,Ben-Plumm,Penny,3,5
155,Ben-Plumm,Tybero-Istarion,5,5
156,Ben-Plumm,Tyrion-Lannister,4,5
157,Benerro,Daenerys-Targaryen,3,5
158,Benerro,Haldon,4,5
159,Benerro,Moqorro,4,5
160,Benerro,Tyrion-Lannister,7,5
161,Benethon-Scales,Narbert-Grandison,3,5
162,Benethon-Scales,Selyse-Florent,4,5
163,Benjen-Stark,Jon-Snow,4,5
164,Black-Balaq,Franklyn-Flowers,3,5
165,Bloodbeard,Daenerys-Targaryen,3,5
166,Bloodbeard,Hizdahr-zo-Loraq,5,5
167,Bloodbeard,Tattered-Prince,3,5
168,Boros-Blount,Meryn-Trant,3,5
169,Boros-Blount,Tommen-Baratheon,4,5
170,Bowen-Marsh,Cellador,8,5
171,Bowen-Marsh,Eddison-Tollett,9,5
172,Bowen-Marsh,Jon-Snow,45,5
173,Bowen-Marsh,Mance-Rayder,5,5
174,Bowen-Marsh,Othell-Yarwyck,19,5
175,Bowen-Marsh,Satin,3,5
176,Bowen-Marsh,Stannis-Baratheon,3,5
177,Bowen-Marsh,Tormund,5,5
178,Bowen-Marsh,Wick-Whittlestick,5,5
179,Bran-Stark,Brynden-Rivers,14,5
180,Bran-Stark,Coldhands,6,5
181,Bran-Stark,Eddard-Stark,4,5
182,Bran-Stark,Hodor,50,5
183,Bran-Stark,Jojen-Reed,17,5
184,Bran-Stark,Jon-Snow,4,5
185,Bran-Stark,Leaf,5,5
186,Bran-Stark,Meera-Reed,33,5
187,Bran-Stark,Rickon-Stark,7,5
188,Bran-Stark,Robb-Stark,6,5
189,Bran-Stark,Theon-Greyjoy,8,5
190,Brandon-Norrey,Jon-Snow,3,5
191,Brandon-Norrey,Torghen-Flint,3,5
192,Brea,Brusco,3,5
193,Brienne-of-Tarth,Cersei-Lannister,3,5
194,Brienne-of-Tarth,Jaime-Lannister,3,5
195,Brus-Buckler,Malegorn,6,5
196,Brus-Buckler,Narbert-Grandison,4,5
197,Brus-Buckler,Selyse-Florent,5,5
198,Brynden-Rivers,Meera-Reed,3,5
199,Brynden-Tully,Jaime-Lannister,4,5
200,Bump,Varamyr,5,5
201,Caggo,Gerris-Drinkwater,3,5
202,Caggo,Lucifer-Long,3,5
203,Caggo,Meris,7,5
204,Caggo,Quentyn-Martell,7,5
205,Caggo,Tattered-Prince,4,5
206,Caleotte,Doran-Martell,3,5
207,Caleotte,Gregor-Clegane,4,5
208,Camarron,Spotted-Cat,3,5
209,Catelyn-Stark,Eddard-Stark,5,5
210,Cellador,Clydas,3,5
211,Cellador,Jon-Snow,3,5
212,Cellador,Othell-Yarwyck,8,5
213,Cersei-Lannister,Daenerys-Targaryen,3,5
214,Cersei-Lannister,Doran-Martell,3,5
215,Cersei-Lannister,Dunsen,3,5
216,Cersei-Lannister,Gregor-Clegane,4,5
217,Cersei-Lannister,High-Sparrow,11,5
218,Cersei-Lannister,Ilyn-Payne,4,5
219,Cersei-Lannister,Jaime-Lannister,13,5
220,Cersei-Lannister,Joffrey-Baratheon,3,5
221,Cersei-Lannister,Kevan-Lannister,10,5
222,Cersei-Lannister,Lancel-Lannister,6,5
223,Cersei-Lannister,Mace-Tyrell,3,5
224,Cersei-Lannister,Margaery-Tyrell,6,5
225,Cersei-Lannister,Meryn-Trant,3,5
226,Cersei-Lannister,Moelle,4,5
227,Cersei-Lannister,Myrcella-Baratheon,4,5
228,Cersei-Lannister,Osney-Kettleblack,3,5
229,Cersei-Lannister,Qyburn,3,5
230,Cersei-Lannister,Rafford,3,5
231,Cersei-Lannister,Rhaegar-Targaryen,3,5
232,Cersei-Lannister,Robert-Baratheon,7,5
233,Cersei-Lannister,Robert-Strong,4,5
234,Cersei-Lannister,Scolera,5,5
235,Cersei-Lannister,Stannis-Baratheon,5,5
236,Cersei-Lannister,Tommen-Baratheon,13,5
237,Cersei-Lannister,Tyrion-Lannister,5,5
238,Cersei-Lannister,Tywin-Lannister,3,5
239,Cersei-Lannister,Unella,10,5
240,Clayton-Suggs,Godry-Farring,5,5
241,Clayton-Suggs,Stannis-Baratheon,6,5
242,Cleon,Daenerys-Targaryen,9,5
243,Cleon,Quentyn-Martell,3,5
244,Cletus-Yronwood,Daenerys-Targaryen,3,5
245,Cletus-Yronwood,Gerris-Drinkwater,5,5
246,Cletus-Yronwood,Kedry,3,5
247,Cletus-Yronwood,Quentyn-Martell,7,5
248,Clydas,Jon-Snow,20,5
249,Clydas,Mully,4,5
250,Clydas,Stannis-Baratheon,3,5
251,Coldhands,Hodor,4,5
252,Coldhands,Meera-Reed,3,5
253,Corliss-Penny,Stannis-Baratheon,3,5
254,Cotter-Pyke,Denys-Mallister,4,5
255,Cotter-Pyke,Jon-Snow,11,5
256,Cotter-Pyke,Selyse-Florent,3,5
257,Cromm,Grimtongue,4,5
258,Cromm,Hagen,4,5
259,Daario-Naharis,Daenerys-Targaryen,50,5
260,Daario-Naharis,Grey-Worm,6,5
261,Daario-Naharis,Groleo,4,5
262,Daario-Naharis,Hero,7,5
263,Daario-Naharis,Hizdahr-zo-Loraq,14,5
264,Daario-Naharis,Irri,7,5
265,Daario-Naharis,Jhiqui,5,5
266,Daario-Naharis,Jhogo,9,5
267,Daario-Naharis,Missandei,4,5
268,Daario-Naharis,Quentyn-Martell,5,5
269,Daario-Naharis,Rakharo,4,5
270,Daario-Naharis,Skahaz-mo-Kandaq,9,5
271,Daenerys-Targaryen,Daeron-II-Targaryen,3,5
272,Daenerys-Targaryen,Doran-Martell,3,5
273,Daenerys-Targaryen,Drogo,7,5
274,Daenerys-Targaryen,Eroeh,3,5
275,Daenerys-Targaryen,Ezzara,3,5
276,Daenerys-Targaryen,Galazza-Galare,19,5
277,Daenerys-Targaryen,Gerris-Drinkwater,15,5
278,Daenerys-Targaryen,Ghael,5,5
279,Daenerys-Targaryen,Grey-Worm,11,5
280,Daenerys-Targaryen,Groleo,4,5
281,Daenerys-Targaryen,Hero,5,5
282,Daenerys-Targaryen,Hizdahr-zo-Loraq,96,5
283,Daenerys-Targaryen,Illyrio-Mopatis,12,5
284,Daenerys-Targaryen,Irri,25,5
285,Daenerys-Targaryen,Jhiqui,15,5
286,Daenerys-Targaryen,Jhogo,6,5
287,Daenerys-Targaryen,Jon-Connington,6,5
288,Daenerys-Targaryen,Jorah-Mormont,4,5
289,Daenerys-Targaryen,Lysono-Maar,3,5
290,Daenerys-Targaryen,Mace-Tyrell,3,5
291,Daenerys-Targaryen,Marselen,3,5
292,Daenerys-Targaryen,Meris,6,5
293,Daenerys-Targaryen,Mezzara,4,5
294,Daenerys-Targaryen,Miklaz,3,5
295,Daenerys-Targaryen,Missandei,37,5
296,Daenerys-Targaryen,Moqorro,3,5
297,Daenerys-Targaryen,Penny,4,5
298,Daenerys-Targaryen,Qavo-Nogarys,5,5
299,Daenerys-Targaryen,Qezza,6,5
300,Daenerys-Targaryen,Quaithe,6,5
301,Daenerys-Targaryen,Quentyn-Martell,58,5
302,Daenerys-Targaryen,Rakharo,7,5
303,Daenerys-Targaryen,Reznak-mo-Reznak,19,5
304,Daenerys-Targaryen,Rhaegar-Targaryen,10,5
305,Daenerys-Targaryen,Robert-Baratheon,3,5
306,Daenerys-Targaryen,Skahaz-mo-Kandaq,33,5
307,Daenerys-Targaryen,Spotted-Cat,3,5
308,Daenerys-Targaryen,Symon-Stripeback,4,5
309,Daenerys-Targaryen,Tattered-Prince,4,5
310,Daenerys-Targaryen,Tyrion-Lannister,17,5
311,Daenerys-Targaryen,Varys,3,5
312,Daenerys-Targaryen,Victarion-Greyjoy,7,5
313,Daenerys-Targaryen,Viserys-Targaryen,7,5
314,Daenerys-Targaryen,Xaro-Xhoan-Daxos,16,5
315,Daenerys-Targaryen,Yurkhaz-zo-Yunzak,4,5
316,Dalla,Gilly,4,5
317,Dalla,Mance-Rayder,5,5
318,Dalla,Melisandre,3,5
319,Dalla,Stannis-Baratheon,5,5
320,Dalla,Val,5,5
321,Damon-Dance-for-Me,Grunt,3,5
322,Damon-Dance-for-Me,Ramsay-Snow,7,5
323,Damon-Dance-for-Me,Skinner,7,5
324,Damon-Dance-for-Me,Sour-Alyn,4,5
325,Damon-Dance-for-Me,Theon-Greyjoy,5,5
326,Davos-Seaworth,Eddard-Stark,4,5
327,Davos-Seaworth,Garth-(Wolfs-Den),4,5
328,Davos-Seaworth,Godric-Borrell,9,5
329,Davos-Seaworth,Leona-Woolfield,3,5
330,Davos-Seaworth,Marlon-Manderly,5,5
331,Davos-Seaworth,Melisandre,4,5
332,Davos-Seaworth,Robb-Stark,3,5
333,Davos-Seaworth,Robett-Glover,4,5
334,Davos-Seaworth,Salladhor-Saan,11,5
335,Davos-Seaworth,Stannis-Baratheon,21,5
336,Davos-Seaworth,Sybell-Spicer,3,5
337,Davos-Seaworth,Wyman-Manderly,32,5
338,Denys-Mallister,Jon-Snow,4,5
339,Denzo-Dhan,Meris,3,5
340,Devan-Seaworth,Jon-Snow,5,5
341,Devan-Seaworth,Melisandre,4,5
342,Devan-Seaworth,Stannis-Baratheon,14,5
343,Dick-Straw,Hugh-Hungerford,3,5
344,Dick-Straw,Tattered-Prince,4,5
345,Donal-Noye,Jon-Snow,7,5
346,Donal-Noye,Qhorin-Halfhand,3,5
347,Doran-Martell,Ellaria-Sand,3,5
348,Doran-Martell,Gregor-Clegane,4,5
349,Doran-Martell,Myrcella-Baratheon,5,5
350,Doran-Martell,Nymeria-Sand,3,5
351,Doran-Martell,Obara-Sand,4,5
352,Doran-Martell,Oberyn-Martell,5,5
353,Doran-Martell,Quentyn-Martell,4,5
354,Doran-Martell,Robert-Baratheon,3,5
355,Doran-Martell,Viserys-Targaryen,3,5
356,Draqaz,Miklaz,3,5
357,Drogo,Viserys-Targaryen,4,5
358,Dryn,Tormund,3,5
359,Dunsen,Gregor-Clegane,3,5
360,Dunsen,Ilyn-Payne,3,5
361,Dunsen,Meryn-Trant,3,5
362,Dunsen,Rafford,3,5
363,Eddard-Stark,Jon-Snow,10,5
364,Eddard-Stark,Ramsay-Snow,4,5
365,Eddard-Stark,Robb-Stark,6,5
